Value,Description
330,Pelagic_fish_spawning_start_day
120,Pelagic_fish_spawning_duration_(days)
91,Pelagic_fish_recruitment_start_day
90,Pelagic_fish_recruitment_duration_(days)
150,Demersal_fish_spawning_start_day
180,Demersal_fish_spawning_duration_(days)
240,Demersal_fish_recruitment_start_day
150,Demersal_fish_recruitment_duration_(days)
240,Filt/dep_benthos_spawning_start_day
120,Filt/dep_benthos_spawning_duration_(days)
210,Filt/dep_benthos_recruitment_start_day
150,Filt/dep_benthos_recruitment_duration_(days)
1,Carn/scav_benthos_spawning_start_day
90,Carn/scav_benthos_spawning_duration_(days)
120,Carn/scav_benthos_recruitment_start_day
120,Carn/scav_benthos_recruitment_duration_(days)
1,Migratory_fish_switch_(0=off_1=on)
4653991.09,Migratory_fish_ocean_biomass_(Tonnes_wet_weight)
0.184,Migratory_fish_carbon_to_wet_weight_(g/g)
432800.19481328,Model_domain_sea_surface_area_(km2)
0.0058,Propn_of_ocean_population_entering_model_domain_each_year
240,Imigration_start_day
330,Imigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
0.2,Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate
150,Emigration_start_day
210,Emigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
